feature,average_gain,relative_gain
Number_of_vehicles_involved,1.1353110074996948,0.12578259678893572
Light_conditions,0.7843222618103027,0.086896092927997
Day_of_week,0.7477623820304871,0.082845575856799
Number_of_casualties,0.7190297842025757,0.07966225362754827
Road_surface_conditions,0.695141613483429,0.07701565183672356
Age_band_of_driver,0.6866427063941956,0.07607404676420165
Cause_of_accident,0.6457350850105286,0.0715418376936421
Driving_experience,0.642706036567688,0.07120624544057387
Type_of_collision,0.6119550466537476,0.06779930290266596
Lanes_or_Medians,0.6100132465362549,0.06758416831874152
Area_accident_occured,0.5892148017883301,0.06527988132400286
Age_band_of_casualty,0.5872380137443542,0.06506087038177638
Type_of_vehicle,0.5709064602851868,0.06325147613639208
